@relation vowel_clustered

@attribute Instance_number numeric
@attribute 'Train or Test' {Train,Test}
@attribute 'Speaker Number' {Andrew,Bill,David,Mark,Jo,Kate,Penny,Rose,Mike,Nick,Rich,Tim,Sarah,Sue,Wendy}
@attribute Sex {Male,Female}
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
411,Train,Penny,Female,-2.512,2.826,-0.171,-0.385,-1.495,0.381,0.067,0.899,-0.902,-0.412,hYd,cluster3
412,Train,Penny,Female,-2.353,2.897,-0.433,-0.193,-0.715,0.359,0.26,0.273,-1.206,0.36,had,cluster3
413,Train,Penny,Female,-2.708,2.396,0.728,0.336,-1.437,-0.344,-0.411,1.469,-0.022,-0.717,hOd,cluster3
414,Train,Penny,Female,-4.341,3.514,-0.453,-1.047,-0.469,0.51,0.618,0.801,-0.399,-0.777,hod,cluster3
415,Train,Penny,Female,-4.045,2.193,0.2,-0.745,0.215,0.387,0.625,1.477,-1.207,-0.27,hUd,cluster3
416,Train,Penny,Female,-5.02,2.551,0.562,-0.136,0.531,-0.064,0.373,0.631,-1.407,-0.267,hud,cluster3
417,Train,Penny,Female,-2.665,1.633,-0.384,-0.111,-0.001,0.234,0.033,0.478,-1.558,0.219,hed,cluster3
418,Train,Penny,Female,-3.586,-0.38,-0.359,1.307,1.587,0.99,0.18,-0.831,-0.471,0.198,hid,cluster7
419,Train,Penny,Female,-2.889,-0.039,-0.494,0.719,1.104,1.003,-0.415,0.097,-0.855,0.356,hId,cluster7
420,Train,Penny,Female,-2.282,0.673,-0.798,1.286,0.308,0.01,-0.411,-0.61,-0.266,0.584,hEd,cluster7
421,Train,Penny,Female,-1.985,2.161,-0.601,0.424,-0.295,-0.489,0.208,-0.216,-0.562,0.079,hAd,cluster3
422,Train,Penny,Female,-2.563,2.829,-0.283,-0.368,-1.593,0.408,0.121,0.933,-0.946,-0.356,hYd,cluster3
423,Train,Penny,Female,-2.415,2.517,-0.285,0.085,-0.902,0.283,0.302,0.247,-1.207,0.371,had,cluster3
424,Train,Penny,Female,-2.776,2.563,0.532,0.277,-1.47,-0.368,-0.278,1.479,-0.164,-0.797,hOd,cluster3
425,Train,Penny,Female,-4.384,3.721,-0.905,-0.965,-0.16,0.498,0.809,0.66,-0.613,-0.831,hod,cluster3
426,Train,Penny,Female,-4.107,2.17,0.206,-0.811,0.334,0.633,0.402,1.097,-1.327,-0.04,hUd,cluster3
427,Train,Penny,Female,-5.069,2.119,0.826,-0.274,0.576,0.145,0.308,1.001,-1.412,-0.306,hud,cluster3
428,Train,Penny,Female,-2.812,1.954,-0.661,0.109,-0.011,0.11,0.187,0.096,-1.538,0.592,hed,cluster3
429,Train,Penny,Female,-3.76,-0.32,-0.24,1.273,1.751,1.125,0.23,-0.723,-0.501,0.315,hid,cluster7
430,Train,Penny,Female,-3.152,0.086,-0.325,0.868,1.084,0.753,-0.522,-0.005,-0.821,0.483,hId,cluster7
431,Train,Penny,Female,-2.558,0.755,-0.66,1.366,0.038,-0.011,-0.443,-0.531,-0.062,0.418,hEd,cluster7
432,Train,Penny,Female,-2.01,2.164,-0.626,0.389,-0.24,-0.441,0.103,-0.27,-0.647,0.165,hAd,cluster3
433,Train,Penny,Female,-2.601,2.735,-0.322,-0.255,-1.67,0.229,0.202,1.01,-0.871,-0.461,hYd,cluster3
434,Train,Penny,Female,-2.521,2.271,-0.277,0.27,-0.909,0.274,0.348,-0.028,-1.177,0.432,had,cluster3
435,Train,Penny,Female,-2.922,2.621,0.214,0.122,-1.477,-0.173,0.045,1.38,-0.635,-0.757,hOd,cluster3
436,Train,Penny,Female,-4.417,3.765,-1.225,-0.853,0.041,0.536,0.885,0.533,-0.757,-0.789,hod,cluster3
437,Train,Penny,Female,-4.07,2.254,-0.28,-0.722,0.696,0.683,0.243,0.689,-1.45,0.19,hUd,cluster3
438,Train,Penny,Female,-5.08,2.241,0.971,-0.374,0.501,0.226,0.144,0.851,-1.319,-0.3,hud,cluster3
439,Train,Penny,Female,-2.93,2.014,-0.7,0.206,-0.088,0.153,0.142,-0.031,-1.437,0.615,hed,cluster3
440,Train,Penny,Female,-4.247,-0.034,0.248,1.372,1.831,1.167,0.087,-0.518,-0.316,0.347,hid,cluster7
441,Train,Penny,Female,-3.183,0.154,-0.413,0.923,1.091,0.582,-0.447,-0.085,-0.904,0.693,hId,cluster7
442,Train,Penny,Female,-2.514,0.558,-0.777,1.299,0.027,0.247,-0.487,-0.653,-0.028,0.481,hEd,cluster7
443,Train,Penny,Female,-2.041,2.119,-0.585,0.549,-0.43,-0.291,-0.002,-0.234,-0.751,0.253,hAd,cluster3
444,Train,Penny,Female,-2.64,2.704,-0.345,-0.23,-1.649,0.064,0.275,0.952,-0.651,-0.571,hYd,cluster3
445,Train,Penny,Female,-2.729,2.104,-0.505,0.138,-0.533,0.455,0.148,-0.407,-1.059,0.625,had,cluster3
446,Train,Penny,Female,-3.025,2.711,-0.147,-0.034,-1.34,0.049,0.364,1.099,-1.02,-0.652,hOd,cluster3
447,Train,Penny,Female,-4.415,3.737,-1.313,-0.815,0.168,0.59,0.975,0.42,-0.825,-0.748,hod,cluster3
448,Train,Penny,Female,-4.036,2.141,-0.355,-0.602,0.837,0.663,-0.013,0.507,-1.412,0.21,hUd,cluster3
449,Train,Penny,Female,-5.158,2.488,1.064,-0.343,0.352,0.18,-0.05,0.817,-1.308,-0.249,hud,cluster3
450,Train,Penny,Female,-2.907,1.992,-0.904,0.205,0.011,0.346,-0.031,-0.148,-1.262,0.487,hed,cluster3
451,Train,Penny,Female,-4.687,0.406,0.889,1.464,1.618,1.021,-0.121,-0.398,-0.307,0.293,hid,cluster7
452,Train,Penny,Female,-3.096,0.103,-0.452,0.879,1.067,0.497,-0.296,-0.067,-0.973,0.711,hId,cluster7
453,Train,Penny,Female,-2.452,0.279,-0.805,1.141,0.239,0.176,-0.104,-0.752,-0.334,0.731,hEd,cluster7
454,Train,Penny,Female,-2.081,2.043,-0.521,0.578,-0.463,-0.246,-0.041,-0.162,-0.814,0.425,hAd,cluster3
455,Train,Penny,Female,-2.658,2.739,-0.382,-0.31,-1.64,0.081,0.276,0.884,-0.535,-0.548,hYd,cluster3
456,Train,Penny,Female,-2.982,2.001,-0.915,0.188,0.035,0.467,-0.13,-0.689,-0.684,0.664,had,cluster3
457,Train,Penny,Female,-3.098,2.525,-0.316,-0.322,-1.082,0.285,0.445,0.847,-0.951,-0.707,hOd,cluster3
458,Train,Penny,Female,-4.403,3.602,-0.945,-0.934,0.041,0.409,1.003,0.47,-0.477,-0.621,hod,cluster3
459,Train,Penny,Female,-4.2,2.201,-0.31,-0.392,0.968,0.7,-0.328,0.129,-0.896,0.15,hUd,cluster3
460,Train,Penny,Female,-5.211,2.544,0.82,-0.333,0.447,0.226,0.127,0.89,-1.389,-0.304,hud,cluster3
461,Train,Penny,Female,-2.752,1.778,-0.718,0.057,-0.009,0.402,0.121,0.05,-1.435,0.281,hed,cluster3
462,Train,Rose,Female,-5.058,2.236,1.381,1.885,-0.259,-0.483,-0.562,0.123,-0.063,0.663,hid,cluster7
463,Train,Rose,Female,-4.181,1.646,0.736,1.286,0.724,-0.511,-1.126,-0.45,-0.648,0.995,hId,cluster7
464,Train,Rose,Female,-3.753,0.828,-0.042,1.406,0.209,-0.53,-0.52,-0.4,-0.386,1.07,hEd,cluster7
465,Train,Rose,Female,-3.494,1.207,-0.607,0.242,-0.43,0.131,0.236,0.545,-0.593,0.678,hAd,cluster3
466,Train,Rose,Female,-2.813,2.327,-1.246,-0.184,-0.755,0.491,1.202,-0.558,-0.669,0.054,hYd,cluster3
467,Train,Rose,Female,-3.133,1.983,-1.398,0.254,-0.667,0.532,0.389,-0.178,-0.584,0.844,had,cluster3
468,Train,Rose,Female,-3.749,3.018,-0.755,-0.452,-0.666,0.209,0.741,0.9,-1.613,0.128,hOd,cluster3
469,Train,Rose,Female,-4.373,4.643,-0.792,-1.332,-0.202,0.597,0.192,1.133,-1.131,-0.28,hod,cluster3
470,Train,Rose,Female,-4.468,4.121,-0.42,-1.197,0.338,0.6,-0.11,0.314,-1.248,-0.012,hUd,cluster3
471,Train,Rose,Female,-4.902,4.49,-0.564,-0.536,-0.164,-0.298,0.842,-0.158,-0.906,0.358,hud,cluster3
472,Train,Rose,Female,-4.125,2.3,-0.167,-0.27,0.103,0.32,-0.467,-0.254,-0.415,0.863,hed,cluster3
473,Train,Rose,Female,-5.124,2.319,1.413,1.804,-0.277,-0.33,-0.746,0.221,0.06,0.46,hid,cluster7
474,Train,Rose,Female,-4.393,2.137,0.57,1.397,0.293,-0.836,-0.966,-0.461,-0.277,1.184,hId,cluster7
475,Train,Rose,Female,-3.961,1.078,0.11,1.232,0.21,-0.67,-0.536,-0.33,-0.268,1.098,hEd,cluster7
476,Train,Rose,Female,-3.654,1.222,-0.574,0.248,-0.299,0.158,0.154,0.553,-0.58,0.617,hAd,cluster3
477,Train,Rose,Female,-3.001,2.263,-1.178,-0.116,-0.922,0.536,1.286,-0.506,-0.566,-0.102,hYd,cluster3
478,Train,Rose,Female,-3.417,1.984,-1.148,0.234,-0.778,0.411,0.494,0.13,-0.704,0.764,had,cluster3
479,Train,Rose,Female,-3.887,3.172,-0.739,-0.69,-0.548,0.33,0.569,0.98,-1.609,0.283,hOd,cluster3
480,Train,Rose,Female,-4.474,4.569,-1.069,-1.409,0.137,1.049,0.071,0.877,-1.355,-0.167,hod,cluster3
481,Train,Rose,Female,-4.471,4.096,-0.809,-0.881,0.646,0.539,0.04,0.142,-1.555,-0.023,hUd,cluster3
482,Train,Rose,Female,-4.947,4.637,-0.444,-0.953,-0.119,-0.249,0.594,0.27,-0.783,0.265,hud,cluster3
483,Train,Rose,Female,-4.173,2.299,-0.298,-0.13,0.122,0.319,-0.388,-0.328,-0.48,0.99,hed,cluster3
484,Train,Rose,Female,-5.131,2.192,1.364,1.936,-0.591,-0.354,-0.677,0.15,0.178,0.38,hid,cluster7
485,Train,Rose,Female,-4.395,1.864,0.503,1.718,0.241,-0.817,-0.672,-0.687,-0.449,1.396,hId,cluster7
486,Train,Rose,Female,-4.058,1.072,0.157,1.136,0.385,-0.687,-0.583,-0.185,-0.3,1.177,hEd,cluster7
487,Train,Rose,Female,-3.631,1.195,-0.719,0.13,-0.065,0.348,-0.061,0.555,-0.594,0.806,hAd,cluster3
488,Train,Rose,Female,-3.434,2.26,-1.065,-0.122,-0.795,0.363,1.403,-0.507,-0.375,0.015,hYd,cluster3
489,Train,Rose,Female,-3.765,1.97,-0.955,0.304,-0.735,0.41,0.38,0.146,-0.536,0.738,had,cluster3
490,Train,Rose,Female,-3.975,3.066,-0.506,-0.827,-0.478,0.434,0.356,0.939,-1.309,0.204,hOd,cluster3
491,Train,Rose,Female,-4.497,4.5,-1.446,-1.127,0.443,0.986,0.136,0.597,-1.087,-0.073,hod,cluster3
492,Train,Rose,Female,-4.475,4.064,-0.927,-0.678,0.599,0.445,0.224,0.103,-1.336,-0.192,hUd,cluster3
493,Train,Rose,Female,-5.011,4.976,-0.868,-1.215,0.17,-0.018,0.543,0.154,-0.841,0.707,hud,cluster3
494,Train,Rose,Female,-4.151,2.069,-0.605,0.111,0.41,0.354,-0.284,-0.381,-0.507,0.737,hed,cluster3
495,Train,Rose,Female,-5.125,2.077,1.283,2.003,-0.734,-0.513,-0.557,0.055,0.295,0.269,hid,cluster7
496,Train,Rose,Female,-4.316,1.409,0.441,1.819,0.5,-0.617,-0.633,-0.621,-0.671,1.193,hId,cluster7
497,Train,Rose,Female,-4.149,1.129,-0.008,1.215,0.39,-0.474,-0.4,-0.343,-0.344,0.886,hEd,cluster7
498,Train,Rose,Female,-3.581,1.188,-0.958,0.189,-0.077,0.451,0.049,0.449,-0.676,0.919,hAd,cluster3
499,Train,Rose,Female,-3.828,2.367,-0.836,-0.343,-0.466,0.116,1.172,-0.175,-0.275,0.117,hYd,cluster3
500,Train,Rose,Female,-3.82,1.705,-1.13,0.45,-0.471,0.665,0.298,-0.175,-0.473,0.848,had,cluster3
501,Train,Rose,Female,-3.949,2.99,-0.643,-0.986,-0.175,0.768,0.249,0.803,-1.479,0.168,hOd,cluster3
502,Train,Rose,Female,-4.471,4.461,-1.887,-0.799,0.719,0.938,0.239,0.342,-1.036,-0.06,hod,cluster3
503,Train,Rose,Female,-4.58,4.116,-0.753,-0.849,0.516,0.498,0.117,0.181,-1.256,-0.119,hUd,cluster3
504,Train,Rose,Female,-5.049,4.846,-0.678,-0.877,-0.09,0.005,0.253,-0.078,-0.178,0.131,hud,cluster3
505,Train,Rose,Female,-4.115,1.856,-0.738,0.132,0.658,0.329,-0.252,-0.123,-0.53,0.456,hed,cluster3
506,Train,Rose,Female,-5.143,2.051,1.216,1.898,-0.555,-0.466,-0.842,0.011,0.461,0.193,hid,cluster7
507,Train,Rose,Female,-4.403,1.409,0.551,1.496,0.673,-0.616,-0.787,-0.382,-0.696,1.139,hId,cluster7
508,Train,Rose,Female,-4.316,1.272,-0.087,1.285,0.126,-0.128,-0.286,-0.463,-0.294,0.691,hEd,cluster7
509,Train,Rose,Female,-3.622,1.111,-0.972,0.399,-0.402,0.527,0.271,0.373,-0.716,0.943,hAd,cluster3
510,Train,Rose,Female,-3.85,2.28,-1.055,-0.335,-0.164,0.41,0.913,-0.391,-0.338,0.26,hYd,cluster3
511,Train,Rose,Female,-3.962,1.724,-1.29,0.531,-0.17,0.528,0.282,-0.149,-0.603,1.139,had,cluster3
512,Train,Rose,Female,-3.894,2.91,-0.968,-0.671,-0.131,0.519,0.591,0.708,-1.515,0.121,hOd,cluster3
513,Train,Rose,Female,-4.469,4.348,-1.74,-0.886,0.447,0.883,0.374,0.577,-0.908,-0.089,hod,cluster3
514,Train,Rose,Female,-4.661,4.235,-0.497,-1.021,0.295,0.457,-0.019,0.345,-1.355,0.062,hUd,cluster3
515,Train,Rose,Female,-5.04,5.074,-1.721,-0.264,0.279,0.176,0.003,-0.609,-0.177,0.422,hud,cluster3
516,Train,Rose,Female,-4.169,1.799,-0.621,0.025,0.706,0.362,-0.343,-0.049,-0.339,0.22,hed,cluster3
517,Train,Rose,Female,-5.105,1.968,1.14,1.719,-0.443,-0.432,-0.969,-0.173,0.551,0.176,hid,cluster7
518,Train,Rose,Female,-4.544,1.672,0.643,1.281,0.504,-0.803,-0.709,-0.229,-0.546,1.058,hId,cluster7
519,Train,Rose,Female,-4.426,1.167,0.008,1.315,0.189,-0.297,-0.124,-0.244,-0.423,0.684,hEd,cluster7
520,Train,Rose,Female,-3.622,0.988,-1.108,0.685,-0.693,0.754,0.442,0.166,-0.458,0.738,hAd,cluster3
521,Train,Rose,Female,-3.597,2.146,-1.492,-0.142,-0.297,0.815,0.87,-0.49,-0.471,0.41,hYd,cluster3
522,Train,Rose,Female,-4.122,1.735,-1.34,0.615,0.03,0.353,0.345,-0.104,-0.54,0.988,had,cluster3
523,Train,Rose,Female,-4.065,2.876,-0.856,-0.221,-0.533,0.232,0.855,0.633,-1.452,0.272,hOd,cluster3
524,Train,Rose,Female,-4.513,4.265,-1.477,-1.09,0.215,0.829,0.342,0.693,-0.601,-0.056,hod,cluster3
525,Train,Rose,Female,-4.651,4.246,-0.823,-0.831,0.666,0.546,-0.3,0.094,-1.343,0.185,hUd,cluster3
526,Train,Rose,Female,-5.034,4.993,-1.633,-0.285,0.398,0.181,-0.211,-0.508,-0.283,0.304,hud,cluster3
527,Train,Rose,Female,-4.261,1.827,-0.482,-0.194,0.731,0.354,-0.478,0.05,-0.112,0.321,hed,cluster3
528,Test,Mike,Male,-1.149,-0.904,-1.988,0.739,-0.06,1.206,0.864,1.196,-0.3,-0.467,hid,cluster0
529,Test,Mike,Male,-2.613,-0.092,-0.54,0.484,0.389,1.741,0.198,0.257,-0.375,-0.604,hId,cluster0
530,Test,Mike,Male,-2.505,0.632,-0.593,0.304,0.496,0.824,-0.162,0.181,-0.363,-0.764,hEd,cluster0
531,Test,Mike,Male,-1.768,1.769,-1.142,-0.739,-0.086,0.12,-0.23,0.217,-0.009,-0.279,hAd,cluster0
532,Test,Mike,Male,-2.671,3.155,-0.514,0.133,-0.964,0.234,-0.071,1.192,0.254,-0.471,hYd,cluster9
533,Test,Mike,Male,-2.509,1.326,0.354,0.663,-0.724,0.418,-0.496,0.713,0.638,-0.204,had,cluster9
534,Test,Mike,Male,-2.764,1.111,0.727,1.54,-0.855,0.261,-1.11,0.227,0.42,0.991,hOd,cluster9
535,Test,Mike,Male,-3.816,3.426,0.224,-0.384,-1.733,0.434,-0.322,1.333,0.653,0.577,hod,cluster9
536,Test,Mike,Male,-3.839,1.248,0.83,0.982,-1.11,0.617,-0.751,0.084,0.309,1.125,hUd,cluster9
537,Test,Mike,Male,-4.982,1.538,0.96,1.253,-0.64,0.588,-0.484,-0.31,-0.246,1.18,hud,cluster8
538,Test,Mike,Male,-2.895,0.682,-0.151,0.218,-0.689,1.118,-0.264,0.922,0.757,0.327,hed,cluster9
539,Test,Mike,Male,-1.093,-0.922,-2.091,0.844,0.009,1.247,0.891,1.453,-0.089,-0.4,hid,cluster0
540,Test,Mike,Male,-2.499,0.119,-0.82,0.346,0.347,1.696,0.245,0.689,-0.084,-0.596,hId,cluster0
541,Test,Mike,Male,-2.633,0.672,-0.372,0.439,0.437,0.907,-0.402,-0.04,-0.366,-0.741,hEd,cluster0
542,Test,Mike,Male,-1.707,1.652,-1.012,-0.622,-0.293,0.279,-0.276,0.477,0.05,-0.2,hAd,cluster0
543,Test,Mike,Male,-2.696,3.129,-0.52,0.294,-0.989,0.019,-0.066,1.106,0.361,-0.396,hYd,cluster9
544,Test,Mike,Male,-2.592,1.617,0.267,0.38,-0.777,0.487,-0.206,0.733,0.592,-0.403,had,cluster9
545,Test,Mike,Male,-2.733,1.088,0.761,1.694,-0.833,0.292,-1.069,0.266,0.369,1.034,hOd,cluster9
546,Test,Mike,Male,-3.835,3.339,0.29,-0.126,-1.68,0.195,-0.368,1.328,0.523,0.861,hod,cluster9
547,Test,Mike,Male,-3.915,2.158,0.781,0.643,-1.023,0.598,-0.718,0.274,0.376,0.77,hUd,cluster9
548,Test,Mike,Male,-4.848,1.115,0.932,1.615,-0.589,0.592,-0.446,-0.366,-0.447,1.294,hud,cluster8
549,Test,Mike,Male,-2.982,0.522,-0.1,0.362,-0.66,1.115,-0.305,0.859,0.637,0.344,hed,cluster9
550,Test,Mike,Male,-1.784,-1.074,-1.661,1.324,0.289,1.303,0.924,1.307,-0.346,-0.521,hid,cluster0
551,Test,Mike,Male,-1.89,0.207,-1.161,0.027,-0.047,1.581,0.277,1.129,0.366,-0.25,hId,cluster0
552,Test,Mike,Male,-2.677,0.486,-0.061,0.517,0.222,1.102,-0.425,-0.096,-0.373,-0.484,hEd,cluster0
553,Test,Mike,Male,-1.716,1.186,-0.809,-0.515,-0.35,0.29,-0.404,0.678,0.172,-0.212,hAd,cluster0
554,Test,Mike,Male,-2.769,2.906,-0.194,0.349,-0.958,0.089,-0.245,1.004,0.6,-0.336,hYd,cluster9
555,Test,Mike,Male,-2.625,1.551,0.298,0.324,-1.05,0.746,0.067,0.603,0.342,-0.413,had,cluster9
556,Test,Mike,Male,-2.632,0.881,0.71,1.8,-0.75,0.33,-1.128,0.177,0.339,1.166,hOd,cluster9
557,Test,Mike,Male,-3.888,3.085,0.436,0.142,-1.526,-0.052,-0.503,1.085,0.511,0.976,hod,cluster9
558,Test,Mike,Male,-3.824,1.832,1.093,1.024,-1.09,0.56,-0.336,0.299,0.126,1.005,hUd,cluster9
559,Test,Mike,Male,-4.813,1.042,0.887,1.661,-0.534,0.747,-0.513,-0.448,-0.412,1.214,hud,cluster8
560,Test,Mike,Male,-2.971,0.463,-0.195,0.323,-0.625,0.941,-0.327,0.78,0.552,0.436,hed,cluster9
561,Test,Mike,Male,-2.698,-1.027,-0.94,1.796,0.392,1.33,0.866,0.781,-0.838,-0.663,hid,cluster0
562,Test,Mike,Male,-1.358,0.136,-1.082,-0.148,-0.609,1.464,0.144,1.149,0.481,0.119,hId,cluster0
563,Test,Mike,Male,-2.594,0.621,-0.292,0.521,0.26,1.204,-0.337,0.261,-0.332,-0.51,hEd,cluster0
564,Test,Mike,Male,-1.793,0.925,-0.739,-0.396,-0.211,0.329,-0.403,0.604,0.197,-0.251,hAd,cluster0
565,Test,Mike,Male,-2.92,2.697,-0.116,0.451,-0.859,-0.035,-0.307,0.874,0.622,-0.301,hYd,cluster9
566,Test,Mike,Male,-2.696,1.26,0.436,0.657,-1.161,0.805,0.062,0.575,0.182,-0.334,had,cluster9
567,Test,Mike,Male,-2.484,0.559,0.624,1.951,-0.646,0.381,-1.106,0.036,0.24,1.291,hOd,cluster9
568,Test,Mike,Male,-3.989,3.049,0.304,0.209,-1.26,-0.205,-0.735,0.862,0.551,1.114,hod,cluster9
569,Test,Mike,Male,-3.776,1.752,0.92,0.722,-1.164,0.774,-0.01,0.657,0.248,1.055,hUd,cluster9
570,Test,Mike,Male,-4.717,0.829,0.853,1.98,-0.546,0.688,-0.434,-0.424,-0.636,1.245,hud,cluster8
571,Test,Mike,Male,-3.108,0.926,-0.389,0.249,-0.461,0.816,-0.226,0.818,0.387,0.303,hed,cluster9
572,Test,Mike,Male,-3.366,-0.826,-0.405,1.643,0.603,1.226,0.524,0.293,-0.858,-0.668,hid,cluster0
573,Test,Mike,Male,-1.53,0.029,-0.925,0.054,-0.565,1.593,0.123,1.117,0.338,0.026,hId,cluster0
574,Test,Mike,Male,-1.817,0.559,-0.801,0.234,0.011,1.215,-0.161,0.809,0.018,-0.382,hEd,cluster0
575,Test,Mike,Male,-1.969,0.835,-0.671,-0.27,0.028,0.4,-0.444,0.53,0.061,-0.343,hAd,cluster0
576,Test,Mike,Male,-3.038,2.475,0.024,0.508,-0.737,-0.102,-0.358,0.706,0.6,-0.209,hYd,cluster9
577,Test,Mike,Male,-2.889,1.418,0.409,0.61,-1.018,0.992,0.005,0.518,-0.027,-0.326,had,cluster9
578,Test,Mike,Male,-2.71,0.809,0.754,1.903,-0.764,0.378,-1.123,0.162,0.405,1.163,hOd,cluster9
579,Test,Mike,Male,-3.992,3.342,0.167,0.086,-1.23,-0.216,-0.824,0.837,0.521,0.978,hod,cluster9
580,Test,Mike,Male,-3.81,1.91,0.527,0.478,-0.972,0.945,-0.28,0.719,0.482,0.829,hUd,cluster9
581,Test,Mike,Male,-4.683,0.773,0.888,2.302,-0.562,0.395,-0.401,-0.289,-0.839,1.165,hud,cluster8
582,Test,Mike,Male,-3.375,1.779,-0.822,0.382,-0.019,0.845,0.123,0.767,0.223,-0.337,hed,cluster0
583,Test,Mike,Male,-3.312,-0.776,-0.504,1.39,0.86,1.257,0.222,0.314,-0.715,-0.765,hid,cluster0
584,Test,Mike,Male,-2.073,0.088,-0.73,0.296,-0.286,1.75,0.154,1.078,0.294,-0.174,hId,cluster0
585,Test,Mike,Male,-1.222,0.491,-0.716,0.004,-0.323,1.108,-0.148,0.773,0.387,-0.073,hEd,cluster0
586,Test,Mike,Male,-2.295,0.883,-0.619,-0.041,0.143,0.378,-0.602,0.335,-0.114,-0.391,hAd,cluster0
587,Test,Mike,Male,-2.968,2.149,0.13,0.676,-0.79,0.112,-0.507,0.762,0.625,-0.272,hYd,cluster9
588,Test,Mike,Male,-2.784,1.43,0.145,0.309,-0.931,1.342,0.017,0.589,-0.044,-0.273,had,cluster0
589,Test,Mike,Male,-3.073,1.532,0.949,1.541,-1.058,0.272,-0.961,0.449,0.619,0.969,hOd,cluster9
590,Test,Mike,Male,-3.958,4.132,-0.074,-0.19,-1.184,-0.11,-0.679,1.198,0.442,0.563,hod,cluster9
591,Test,Mike,Male,-3.947,2.102,0.305,0.462,-0.765,1.037,-0.618,0.741,0.345,0.269,hUd,cluster9
592,Test,Mike,Male,-4.756,0.965,0.959,2.287,-0.527,0.454,-0.41,-0.362,-0.862,1.088,hud,cluster8
593,Test,Mike,Male,-3.366,1.952,-0.898,0.258,0.282,0.835,0.29,0.681,0.431,-0.461,hed,cluster0
594,Test,Nick,Male,-3.137,0.077,-1.157,1.589,0.204,1.898,0.17,0.676,-1.033,-0.635,hid,cluster0
595,Test,Nick,Male,-3.262,0.956,-0.791,1.528,-0.021,0.977,-0.121,0.499,-0.99,-0.621,hId,cluster0
596,Test,Nick,Male,-2.045,0.819,-1.46,0.652,-0.701,0.352,-0.087,0.793,-0.567,-0.013,hEd,cluster0
597,Test,Nick,Male,-1.993,1.725,-1.13,0.556,-1.223,0.485,0.211,-0.04,-0.294,-0.548,hAd,cluster0
598,Test,Nick,Male,-2.765,2.817,-2.02,0.213,-0.772,0.852,0.252,-0.193,-0.202,-0.093,hYd,cluster0
599,Test,Nick,Male,-2.55,2.391,-1.137,0.09,-0.948,0.217,0.051,0.723,-0.558,-0.204,had,cluster0
600,Test,Nick,Male,-3.297,2.88,-0.859,-0.301,-1.02,0.798,0.288,0.855,-0.528,-0.662,hOd,cluster0
601,Test,Nick,Male,-4.047,3.899,-0.423,0.147,-1.273,0.203,0.317,0.531,0.584,-0.11,hod,cluster9
602,Test,Nick,Male,-4.101,2.84,-0.802,0.062,-0.733,1.304,-0.145,0.443,0.049,-0.611,hUd,cluster0
603,Test,Nick,Male,-4.693,3.146,-0.136,0.587,-0.731,1.055,-0.104,-0.021,0.637,-0.192,hud,cluster9
604,Test,Nick,Male,-3.73,1.872,-0.801,0.555,-0.427,0.791,0.196,0.65,-0.744,-0.372,hed,cluster0
605,Test,Nick,Male,-3.019,0.058,-1.265,1.497,0.171,1.997,0.178,0.847,-1.16,-0.548,hid,cluster0
606,Test,Nick,Male,-3.339,1.004,-0.747,1.505,-0.068,1.007,-0.017,0.377,-0.775,-0.899,hId,cluster0
607,Test,Nick,Male,-2.008,0.785,-1.489,0.654,-0.685,0.313,-0.085,0.856,-0.516,-0.053,hEd,cluster0
608,Test,Nick,Male,-1.951,1.684,-1.039,0.586,-1.166,0.345,0.33,-0.108,-0.198,-0.609,hAd,cluster0
609,Test,Nick,Male,-2.785,2.792,-1.924,0.225,-0.985,1.076,0.07,-0.071,-0.257,-0.135,hYd,cluster0
610,Test,Nick,Male,-2.538,2.351,-1.029,0.146,-0.922,0.201,-0.058,0.835,-0.712,-0.074,had,cluster0
611,Test,Nick,Male,-3.231,3.003,-1.161,-0.315,-0.816,0.87,0.311,0.677,-0.565,-0.7,hOd,cluster0
612,Test,Nick,Male,-4.033,4.071,-0.586,0.127,-1.447,0.62,0.197,0.711,0.48,-0.306,hod,cluster9
613,Test,Nick,Male,-4.13,3.105,-1.141,0.183,-0.498,1.324,-0.399,0.675,-0.339,-0.694,hUd,cluster0
614,Test,Nick,Male,-4.718,3.281,-0.203,0.651,-0.883,1.413,-0.663,0.583,0.237,-0.307,hud,cluster9
615,Test,Nick,Male,-3.7,1.841,-0.675,0.441,-0.383,0.89,0.176,0.594,-0.677,-0.408,hed,cluster0
616,Test,Nick,Male,-2.973,0.036,-1.273,1.519,0.195,1.98,0.131,0.832,-1.157,-0.547,hid,cluster0
617,Test,Nick,Male,-3.485,1.092,-0.674,1.395,-0.027,1.039,-0.047,0.384,-0.761,-0.934,hId,cluster0
618,Test,Nick,Male,-1.929,0.777,-1.415,0.598,-0.579,0.215,-0.061,0.733,-0.333,-0.235,hEd,cluster0
